Correct Words,Incorrect Words
dream,drean
drove,drow
drove,drowe
felt,feld
fish,fisk
fire,vire
freeze,frisch
going,goind
guilty,quilty
gun,cun
gun,gan
him,hin
hurry,hyrry
light,tight
manage,mannish
packing,backing
planning,planing
started,starded
summer,same
their,heir
their,ther
there,tere
through,thouwh
through,thoygnt
through,trought
through,thougth
troubles,trables
very,wery
village,willage
weekend,weekena
weekend,weedend
weekend,wecckend
weekend,weckend
chair,chear
hunt,hount
ready,reade
self,selv
wife,wief
wood,wod
now,no
scene,seen
and,an
first,fist
they,the
thought,though
tired,tire
tired,tried
fire,file
gun,can
gun,cut
gun,gum
must,mast
must,much
same,some
some,same
them,then
things,thinks
think,thing
thought,tough
through,thought
through,trough
whole,hold
wife,five
woods,foods
cold,could
leaving,living
rod,road
said,sad
sweaty,sweety
dreamed,dreamd
stayed,stayd
felt,fellt
little,litlle
next,nexst
sat,satt
weekend,weeckend
catch,catsh
fishes,fishis
happily,happyly
tried,tryed
were,where
beautiful,beutiful
could,coud
helpful,helpfull
house,hous
quickly,quicly
quickly,quikly
surprised,suprised
already,allready
beautiful,beautifull
necessary,nessecary
any,eny
animals,anymals
behind,bihind
both,bouth
cause,couse
coffee,coffe
coffee,koffee
country,contry
decided,desided
fishes,fishies
forests,forists
freezing,freesing
his,hes
lying,luying
meanwhile,meenwhal
notice,notise
pleasure,pleasuru
reindeer,raindear
summer,sommer
tea,tee
they,thei
until,untill
waiting,wating
waiting,wayting
waked,waiked
weather,wether
wonderful,wonderfull
chopped,choped
chopping,choping
thought,thout
beautiful,beatiful
pointed,ponted
pointed,poited
chair,cheere
country,courntry
road,roand
seemed,seemeded
tired,tirred
brought,brougth
house,huose
luggage,laguage
sight,sigth
tired,tierd
arrived,arriwed
beautiful,beatifus
came,game
cottage,cuttage
drove,dowe
drove,drowe
drove,drow
fishes,fishisch
fishes,fishish
quickly,qvickly
summer,sammer
their,ther
there,trere
thinking,thinging
touching,taching
unhappy,unhuppy
very,wery
vigour,wigour
village,willage
visit,wisit
warm,varm
wife,vife
chair,chear
husband,housband
packaged,pacaged
tired,tiered
weather,wether
yet,yeat
that,the
they,the
thought,though
cold,call
drove,draw
fire,fare
fly,flee
rod,rot
soon,son
thought,taught
through,trough
cold,could
hurry,harry
rod,road
shoot,shut
shotgun,shut_gun
sits,sets
too,to
becomes,becoms
finally,finaly
stayed,stayd
fishing,fisching
rod,rodd
sat,satt
they,thhey
cried,cryed
quickly,qwickly
where,were
whole,hole
were,where
their,there
beautiful,beutiful
carry,cary
carrying,carying
house,hous
where,wher
already,allready
beautiful,beautifull
forest,forrest
helpful,helpfull
decided,desided
began,bigan
country,contry
*deers,dears
his,hes
holiday,holyday
husband,husbund
summer,summar
summer,sommer
tea,tee
through,thrue
unused,uneused
wife,whife
hardly,hadly
Norwegian,Norwigen
shopping,shoping
clouds,clous
Finnish,finnsh
health,healt
shopping,shoppig
coins,coints
coming,comeing
Danish,Dennish
Danish,dennish
Danish,Dannish
Danish,dannish
laughed,laughted
may,meay
ticket,stigit
brush,bursh
brush,borch
shopping,choppnig
beautifully,beautufully
brush,brust
brush,prush
brush,drush
brush,brash
buy,ouy
cheap,sheap
cheap,cheaf
cloud,gloud
clouds,glauds
clouds,glads
clouds,cloads
clouds,clouts
clouds,glowes
clouds,glouds
clouds,cloves
coins,coings
coins,goins
coins,koings
Danish,dannis
Danish,Dennis
Denmark,Danmark
Dutch,datch
Finnish,Finnich
Finnish,Finnis
foot,foat
healthy,helty
healthy,healty
him,hem
maybe,mybe
maybe,mauby
pay,puy
perhaps,berhaps
shopping,choping
shopping,chopping
shopping,jopping
Swedish,svedish
Swedish,svedis
Swedish,Svedish
Swedish,swedich
ticket,tigit
ticket,sticket
ticket,thicket
tooth,toat
wash,vosh
beautiful,beatiful
brush,brosh
brush,bruch
Danish,denish
Danish,denisch
Danish,Denish
maybe,mayby
Norwegian,norwigian
Swedish,Swedesh
health,heath
brush,burst
brush,breach
cheap,sheep
foot,food
*foots,foods
moons,moves
cheap,chip
coming,comeing
mentioned,mentiond
forget,forgett
shopping,schopping
beautiful,beautyful
Finnish,Finish
Finnish,finish
buy,by
buy,bye
careless,careles
cheap,cheape
cloud,cloude
little,litle
often,ofen
sickness,siknis
tickets,tikets
beautiful,beautifull
forget,foreget
Norwegian,norweigian
Norwegian,Norweigian
thick,thik
Swede,Sweed
always,alweis
cheap,cheep
health,helth
maybe,maby
maybe,meybe
maybe,maiby
Swedish,swedesh
laughing,lauging
small,smal
ticket,teket
Danish,Dennish
Danish,Dannish
Danish,dennish
laughing,laughting
mention,menation
Swedish,Schwedish
useful,juseful
business,buisness
healthy,healhty
Norwegian,Norweigan
Norwegian,norweigan
often,ofent
beatiful,buatiful
beautiful,beatufull
cheap,sheap
cheaper,sheeper
clouds,clodes
feet,feeth
healthy,healty
Norwegian,norveigan
Norwegian,Norwaigan
Norwegian,Norwagan
perhaps,berhaps
probably,probadly
Swedish,swidish
Swedish,Svedish
ticket,thicket
beautiful,beatiful
Danish,Denish
Danish,Denisch
Danish,denish
Norwegian,Norwigian
perhaps,pearhaps
Swedish,Swedesh
hardly,hardy
cheap,sheep
dimes,dines
fallen,falln
brush,brusch
cash,casch
Danish,danisch
Danish,Danisch
Finnish,Finnisch
Finnish,finisch
Finnish,Finisch
forget,forgett
fresh,fresch
Swedish,swedisch
wash,wasch
coins,koins
shopping,shoping
skies,skys
Finnish,Finish
Finnish,finish
were,where
buy,bye
beautiful,beutiful
Norwegian,Norwegan
ticket,tiket
ticket,tikit
beautiful,beautifull
business,bussiness
cheap,cheape
clouds,cloudes
moons,moones
Norwegian,norweigian
Swede,sweed
beautiful,buetiful
buying,bying
cheap,cheep
clean,cleen
clouds,clowds
Danish,deinish
health,helth
Norwegian,norwegen
Norwegian,Norwegen
perhaps,perherps
Swede,Sweede
Swedish,Sweedish
teeth,teths
wash,whash
school,shool
thought,thougt
easily,easly
in,i
next,nexkt
wasn't,wasen't
school,shcool
thought,thougth
understood,unredstood
books,boks
boy,poy
fresh,frech
friends,frience
lazy,laty
lazy,lagy
should,chould
son,san
thought,tought
thought,toght
understand,anderstand
understood,understod
very,wery
fresh,freash
lazy,laze
reading,reding
yet,yeat
and,an
friends,fiends
good,god
think,thing
air,ear
too,to
fresh,fresch
should,schould
read,red
son,sun
their,there
weather,whether
understand,undestand
were,wer
which,wich
which,whitch
easy,eazy
lazy,lasy
out,aut
reading,reeding
said,sed
school,skool
thought,thougt
wasn't,wasen't
about,abut
everyone,eweryone
lazy,leeiissy
should,chould
their,ther
thought,tought
reading,reeding
therefore,thearfore
they,the
thought,though
read,reed
too,to
air,era
reading,riding
why,way
fresh,fresch
read,red
were,where
son,sun
their,there
therefore,therfor
therefore,therefor
with,whith
easy,eazy
control,conrol
governments,goverments
goals,coals
goals,couls
governments,covernments
governments,covernements
governments,gowernments
independent,independend
one-sided,one-sidet
spread,spreed
spread,spreat
completely,complitely
completely,completly
false,fals
opinions,opinnions
therefore,therefor
aims,aimes
governments,governements
description,discription
explain,explane
false,falce
governments,gouvernments
independent,independant
independent,indipendent
spread,spred
thoughts,thaughts
governments,governemts
control,conrol
thoughts,thougts
views,wievs
false,falsh
false,falsch
governments,covernements
governments,goverments
governments,gowenments
spread,spreed
views,wiews
gives,givs
ourselves,ourselvs
should,schould
wish,wisch
cause,course
real,reel
completely,completly
opinions,oppinions
therefore,therefor
always,allways
governments,governements
system,systeme
wish,whish
aims,ames
false,falce
false,faulse
governments,gouvernments
independent,indipendent
independent,independant
influence,influense
means,meens
spread,spred
corners,cornes
lonely,lonly
balcony,balcon
behind,bhind
important,importat
isn't,is't
studying,studing
atmosphere,athmosphere
constant,contanct
try,trier
church,chruch
left,letf
appear,apper
describe,descripe
etcetera,excetera
machine,macine
opportunity,obbortunity
straight,stright
teacher,theacher
ceiling,ciling
convenience,convinience
curtain,curtion
noise,noice
breathe,breath
thought,though
back,bag
leave,live
ash,asch
listen,lissten
there,their
waste,waist
boring,boaring
effective,efective
except,exept
walls,wals
green,greene
nervous,nerveous
successful,successfull
balcony,balkony
cheap,chiep
description,discription
distance,distanse
divine,devine
forty,fourty
indeed,endeed
meant,ment
mention,mension
proved,prooved
satisfied,satysfied
surroundings,sourroundings
terrace,terrass
which,whitch
complete,complet
artificial,artifical
daylight,dayligh
ordinary,ordinair
happens,happends
presume,persume
disappear,disapper
lot,lof
noise,noice
slides,slites
stairs,stears
views,wiews
here,her
ground,grown
them,the
thought,though
quiet,quite
never,newer
too,to
covered,coverd
says,sais
appreciate,appreciat
are,ar
before,befor
black,blak
except,exept
exception,exeption
full,ful
intellectual,intelectual
listener,listner
more,mor
shouldn't,shoudn't
something,somthing
stretch,strech
where,wher
always,allways
attached,attatched
chairs,chaires
disturbs,disturbes
whom,whome
agreeable,agreable
autumn,automn
being,beeing
blackboard,black-bord
ceiling,celing
ceiling,cieling
chance,chanse
colour,coulour
colour,coulor
concentrate,consentrate
course,corce
course,cource
curious,curios
dimension,dimention
divided,devided
fantasy,phantasy
floor,flor
seeing,seing
television,telivision
write,wright
yourself,yorself
daylight,dayligt
loneliness,lonlyness
Pole,Pol
Canadian,Canadan
civilization,civilation
completeness,completness
didn't,did't
explosive,exposive
improbability,improbality
improbability,improbablity
Irishman,Iresman
literary,litterar
literary,literar
military,militar
Scotchman,Scotman
simplicity,simlicity
simplicity,simplity
simplicity,simlecity
certainty,certainity
Scotchman,Scotchsman
systematic,systemastic
Turkish,Turkeish
caught,cautch
certainty,certaincy
certainty,certaince
civilization,civilication
Greek,Grec
Greek,Greec
mice,meese
Norwegian,Norwaygian
possibility,possepility
Scottish,Scotich
Scottish,Scottich
simplicity,simblicity
stole,stold
successful,succeesfull
systematic,systemathic
diligence,diligency
loneliness,loneleness
forbid,forbide
girls',girls's
caught,coughed
Greek,Greece
shallow,swallow
shallow,swalow
Japanese,Japanise
Dutch,Dutsch
Dutchman,Dutschman
Scotch,Scotsch
Scotchman,Scotschman
Scottish,Scottisch
Scottish,Scotisch
Dutch,Dutsh
Dutchman,Dutshman
loneliness,lonelynes
loneliness,lonelyness
loneliness,lounlyness
Scotch,Scotsh
Scotchman,Scotshman
thieves,thiefs
diligence,diligens
Norwegian,Norweigan
Scottish,Scotish
Scottish,Scotish
successful,succesful
successful,succesfull
argument,arguement
careful,carefull
Greek,Greeke
Irish,Ireish
Irishman,Ireishman
literary,litterary
Scot,Scott
Scotsman,Scottsman
Canadian,Canadien
caught,cought
course,cource
encourage,incouraged
Greek,Greak
improbability,improbabiliti
Irish,Iresh
Japanese,Japaneese
Japanese,Japanease
mice,mise
Norwegian,Norweigian
Norwegian,Norwegean
possibility,possibiliti
simplicity,simplisity
thieves,theaves
Turk,Turc
Japanese,Japanais
loneliness,lonliness
loneliness,lonlyness
Canadian,Canadan
civilization,civilition
civilization,civilation
completeness,completness
Dutch,Dusch
explosive,exposive
improbability,improbility
improbability,improbality
improbability,improbablity
literary,literar
military,militar
ordinary,ordinair
Scotchman,Scotman
simplicity,simplity
simplicity,simplicy
certainty,certainity
Irish,Irisish
Pole,Polve
scientific,scientifitic
Scot,Scoth
slowly,slovely
certainty,certaincy
certainty,certance
certainty,certinity
civilization,civilizition
dusk,dask
dusk,dush
Dutchman,Duschman
explosive,explotive
feet,feeth
Greek,Grec
Greek,Greech
Greek,Greec
mice,miece
mice,meece
mice,mize
mice,meese
Norwegian,Norwaygian
Norwegian,Norwagian
Scottish,Scothisch
Scottish,Scottich
stole,stold
thieves,thiews
took,tok
diligence,diligency
literary,literare
at,a
violent,violet
forbid,forbide
Greek,Greece
shallow,swallow
deer,dear
Japanese,Japanise
shallow,sallow
thieves,thievs
thieves,thiefs
Dutch,Dutsch
Dutchman,Dutschman
Irish,Irisch
Japanese,Japanisch
Scotch,Scotsch
Scotchman,Scotschman
Scottish,Scottisch
Swedish,Swedisch
Turkish,Turkeyisch
Dutch,Dutsh
Dutchman,Dutshman
loneliness,lonelyness
loneliness,lonelynes
paid,payd
pennies,pennys
Scotch,Scotsh
plain,plane
explosive,explosive
loneliness,lonelines
Norwegian,Norweigan
Scottish,Scotish
successful,sucessful
successful,succesful
Swede,Sweed
argument,arguement
Canadian,Canadean
careful,carefull
fail,faile
girls',girles'
Greek,Greeke
literary,litterary
proud,proude
Scot,Scott
Scotchman,Scottsman
successful,successfull
Turk,Turke
twilight,twighlight
Canadian,Canadien
careful,caraful
caught,cought
deny,denie
diligence,diligense
encourage,incourage
encouraged,incouraged
fail,fale
geese,geece
Japanese,Japaneese
mice,mise
mystery,mistery
mystery,mysteri
Norwegian,Norweigian
Norwegian,Norwegean
simplicity,simplecity
Swede,Sweede
Swedish,Swedesh
Turk,Turc
Turkish,Turkesh
female,femal
biological,biologial
laborious,labourous
laborious,labouros
luxurious,luxorous
luxurious,luxurous
squalidity,squality
variety,varity
wisdom,wisedome
skilful,skilfoll
wisdom,wisedoom
wisdom,wisedom
biological,biologigal
brilliant,briljant
capable,cabable
curved,curwed
disgrace,discrace
female,femile
luxurious,luxuroys
convenient,conviniant
dead,died
fatness,fattness
feminine,feminin
successful,succesful
economics,economicks
evilness,evillness
laborious,labourious
dead,ded
femail,femail
ingenious,ingenius
intelligence,intelligense
luxurious,luxorious
sense,sence
sensibility,sencibility
variance,varience
variety,varioty
female,femal
laborious,labouros
laborious,labourous
luxurious,luxurous
squalidity,squality
temporary,temporar
variety,varity
changing,shangeing
female,femmale
wisdom,wisedom
wisdom,wisdome
able,albe
wealthy,whealty
biological,biologyial
changing,shangeing
noisy,noicy
poverty,powerty
saving,safing
crooked,crocked
spares,spears
changing,changeing
silliness,sillyness
feminine,feminin
sense,senc
allow,allowe
biological,biologichal
female,feamail
intelligence,intelligense
laborious,labourious
able,abel
efficient,effecient
falseness,falceness
female,fea-male
occasional,occational
business,bussines
bachelor,barchelour
bachelor,barchellor
bachelor,butchelor
bachelor,butcheler
bachelor,buchelor
bachelor,bancelor
bachelor,butchellor
bachelor,barcelor
fluently,flyently
exercise,exercice
off,of
spared,speared
dying,dieing
factory,faktory
blankets,blanquetts
bachelor,batchler
business,busines
ankle,anckle
bachelor,batchelor
bachelor,barchelor
cancel,cancell
ankle,ancle
bachelor,bachalor
blankets,blancets
cancel,cansel
discovered,descovered
papers,peipers
sheets,sheats
business,busynes
bachelor,barchelor
bachelor,bacelor
bachelor,butchelor
stocks,stocs
dying,dieing
bachelor,batchler
knit,nit
bachelor,batchelor
cancel,cancell
wrist,whrist
ankle,ancle
blankets,blancets
cancel,cansel
exercise,exercize
embarrassed,imbaresed
literature,literatur
occasionally,ocasionaly
abroad,abrod
acquainted,acquinted
acquaintance,acquitance
physiology,physologi
world,worl
increase,incerease
language,landguage
utilizing,utilisising
begin,beign
etcetera,excetra
grammatic,crammatic
loves,lowes
want,waat
journey,jaurney
pronounce,pronaunce
courses,curses
hear,ear
bump,pump
practice,practise
beginning,begining
countries,countris
faculties,facultes
getting,geting
Scotch,scotsh
Finnish,finish
honest,onest
interest,intrest
interested,intrested
school,scool
which,wich
always,allways
finished,finnished
literature,litterature
course,cource
deal,deel
friend,frend
many,meny
necessarily,necesserily
patiently,pasciently
unemployed,unimployed
acquaintance,aquantance
grade,grad
practice,practic
beautiful,beatiful
colloquial,colloquel
in,i
language,languge
studying,studing
worldwide,worlwide
artificial,artificiell
children,schildren
Swedish,Schwedish
beatiful,beatuful
hobby,habby
school,shool
tourists,turists
choice,choise
make,maka
summer,sommer
know,now
quite,quiet
with,whit
is,it
programmes,programms
teach,teatch
teacher,teatcher
companies,companys
world,word
whether,weather
beautiful,beutiful
break,brake
course,corse
Finnish,finish
interesting,intresting
really,realy
therefore,therefor
tongue,tung
whom,whome
although,allthough
British,Brittish
Finland,Finnland
honour,honnor
literature,litterature
profession,proffession
bored,boared
commerce,commerse
discover,descover
economy,economie
interpreter,enterpretor
kids,cids
need,nead
noticed,notised
speech,speach
sufficient,suffisient
conservatives,conservaties
independence,independene
studying,studing
cabins,cabines
decrease,discrease
enough,enought
pollute,polluate
pollute,polullute
pollutions,pollutations
republican,republician
anxious,ancious
arrange,arrenge
Carta,Gartha
conqueror,congueror
conqueror,qonqearor
faster,waster
fence,fench
independence,independency
mirror,mirrow
Norwegian,Norvegian
polluted,polucated
quake,quage
republicans,rebuplicans
shock,chock
Swedish,Svedish
wider,vider
grip,gripe
extent,extend
mere,mare
yet,jet
affect,effect
lying,laying
these,this
shock,schock
families,familys
bye,by
sea,see
conservative,conservativ
declare,declair
development,developement
embarrass,embarras
explain,explaine
interesting,intresting
polluted,poluted
progress,proggres
some,som
Thames,Tames
which,wich
worried,woried
already,allready
awful,awfull
balance,ballance
democrat,demockrat
holiday,holliday
rid,ridd
areas,aerias
areas,aeries
conqueror,conquerer
democratic,demokratic
democrats,demokrats
independence,independance
independent,independant
Norway,Norwey
Sicilian,sisilian
species,spesies
splendid,splended
summer_days,sommerdays
terrify,terrifie
progressed,progessed
studying,studing
areas,areals
Norwegian,Norweigan
enjoy,enjou
French,Frensh
frightening,frightnine
immediately,immeadetly
oven,owen
probably,propably
resources,recauses
shock,chock
shocked,chocked
still,slill
Swedish,Schwedish
teacher,theacher
Danish,Denish
tree,three
trees,threes
decreased,diseased
grow,grove
riches,reaches
Swedish,Swedisch
seas,sees
address,adress
address,adres
explain,explane
nature,natur
nature's,natur's
polluted,poluted
pollution,polution
Thames,Thams
damage,dammage
democrats,democrates
development,developpement
development,developement
disturb,disturbe
forward,forewards
planet,plannet
polluted,pollunated
polluted,pollutated
polluted,polluated
richness,ritchness
rub,rubb
decrease,dicrease
fought,faught
grateful,greatful
independence,independance
manage,mannage
pollutions,pollusions
receive,recieve
received,recieved
resources,resourses
resources,resorces
rhubarb,rhuburb
terrifying,terryfying
trees,treas
visit,visited
magnefision,magnificent
aposit,opposite
galleroy,gallery
spenlid,splendid
purpal,purple
cartin,curtains
wrot,wrote
politray,poetry
understan,understand
latec,latest
poven,poems
stranch,strange
pernated,pretend
realy,really
sapshal,special
repeparan,refreshment
juce,juice
bicketes,biscuits
stomak,stomach
conteted,contented
shore,sure
beatyful,beautiful
khole,whole
clime,climb
bilt,built
minner,minor
savthm,southern
spashel,special
seasice,scissors
seaksily,scarcely
byesicle,bicycle
inneshe,initials
reaseat,receipt
wasit,waist
remined,remind
rain,reign
inkevanins,inconvenient
singnher,signature
sacsesfull,successful
granty,guarantee
babyes,babies
thier,their
dinging,digging
stake,steak
verest,various
incloden,including
phototes,potatoes
edmittet,admitted
recevid,received
bounes,bonus
sellybrat,celebrate
stil,still
dang,dug
gardon,garden
progres,progress
noticsport,noticeable
offten,often
anty,aunt
magneficent,magnificent
oppict,opposite
galary,gallery
remmeber,remember
spilend,splendid
pupel,purple
carttens,curtains
wortte,wrote
poletry,poetry
prbolom,problem
undester,understand
pomes,poems
stareng,strange
want'd,wanted
pottend,pretend
relly,really
spical,special
revesment,refreshment
buscates,biscuits
stimic,stomach
condented,contented
wholl,whole
clumb,climb
billet,built
miner,minor
southen,southern
offull,awful
spical,special
siscals,scissors
scacally,scarcely
bicals,bicycle
inials,initials
recet,receipt
coarte,court
west,waist
reminde,remind
reine,reign
incovenent,inconvenient
sigether,signature
sccsfull,successful
greanty,guarantee
babyes,babies
yestarday,yesterday
diking,digging
stake,steak
varies,various
vagetabels,vegetables
incouling,including
potiotes,potatoes
atmided,admitted
resived,received
bonies,bonus
selberate,celebrate
duck,dug
facet,fact
porgress,progress
notsabil,noticeable
magnifum,magnificent
oppsite,opposite
galeey,gallery
remebre,remember
splindid,splendid
purpil,purple
cartaines,curtains
poiltry,poetry
under_stand,understand
wards,words
pratande,pretend
real,really
spical,special
refreshion,refreshment
lift,left
stumk,stomach
contanted,contented
grate,great
shoure,sure
beautyfull,beautiful
clime,climb
builet,built
mina,minor
sadan,southern
spical,special
saizer,scissors
sicasely,scarcely
bycycle,bicycle
nisal,initials
reseat,receipt
corret,court
waiste,waist
reminde,remind
wraine,reign
succaful,successful
gurantte,guarantee
babys,babies
there,their
baries,various
inculding,including
dinning,dining
add_metted,admitted
bounes,bonus
salevate,celebrate
prograss,progress
notice_board,noticeable
magnifisant,magnificent
oppersit,opposite
galary,gallery
splended,splendid
poiatary,poetry
lastest,latest
poim,poems
strainged,strange
pretented,pretend
realy,really
jues,juice
bescuts,biscuits
stomak,stomach
contanted,contented
miner,minor
sauthan,southern
aufull,awful
cises,scissors
skisaly,scarcely
enesiles,initials
cort,court
wiest,waist
reain,reign
cuzarantee,guarantee
yersterday,yesterday
stake,steak
verious,various
inclouding,including
potates,potatoes
attmited,admitted
bones,bonus
progerous,progress
noticible,noticeable
galery,gallery
shure,sure
inconveineant,inconvenient
gurantee,guarantee
magnificient,magnificent
galary,gallery
stranged,strange
gurantee,guarantee
stake,steak
dugged,dug
oposit,opposite
gallory,gallery
poetery,poetry
biscuts,biscuits
stamach,stomach
shure,sure
beatiful,beautiful
bilut,built
miner,minor
sathon,southern
ouful,awful
scarcily,scarcely
inushiols,initials
recipt,receipt
caurt,court
rayin,reign
inconveniant,inconvenient
saccessful,successful
garanty,guarantee
cocking,cooking
stalk,steak
vegestables,vegetables
addmited,admitted
recived,received
celibrate,celebrate
noticeble,noticeable
purpel,purple
biquits,biscuits
veries,various
paper,purple
refreshements,refreshments
juce,juice
noticable,noticeable
stomache,stomach
magnificient,magnificent
purpole,purple
juce,juice
varies,various
magnificant,magnificent
juise,juice
stommac,stomach
magnificend,magnificent
oposide,opposite
galary,gallery
splended,splendid
purble,purple
jous,juice
biscuids,biscuits
contended,contented
dinning,dining
recieved,received
babys,babies
dinning,dining
noticable,noticeable
splendude,splendid
poetrie,poetry
pretent,pretend
juce,juice
bisuts,biscuits
stomac,stomach
diging,digging
potateos,potatoes
diening,dining
magnificient,magnificent
spendide,splendid
purpose,purple
noticable,noticeable
purpore,purple
cortains,curtains
pritend,pretend
dinning,dining
admited,admitted
noticable,noticeable
stomache,stomach
noticable,noticeable
poetery,poetry
noticable,noticeable
galery,gallery
noticable,noticeable
magnific,magnificent
galerie,gallery
purpil,purple
cartoons,curtains
poeterie,poetry
stomec,stomach
dinning,dining
noticable,noticeable
wemen,women
hall,whole
miner,minor
subben,southern
ssissors,scissors
sgulli,scarcely
enecial,initials
reciept,receipt
co-at,court
west,waist
rain,reign
inconvenite,inconvenient
garanty,guarantee
beatiful,beautiful
miner,minor
siccors,scissors
innicial,initials
rain,reign
inconvenciont,inconvenient
guarnty,guarantee
sissors,scissors
scarthly,scarcely
inicial,initials
reciet,receipt
remaind,remind
rain,reign
guarrantee,guarantee
grate,great
old,whole
clime,climb
bilt,built
miner,minor
southen,southern
cisers,scissors
sgusli,scarcely
bicicel,bicycle
recivd,receipt
rain,reign
inconvinient,inconvenient
signiter,signature
garantie,guarantee
womon,women
miner,minor
grussly,scarcely
innitial,initials
inconvinient,inconvenient
garatee,guarantee
unswer,answer
climbe,climb
becouse,because
scisser,scissors
scearsly,scarcely
bycicle,bicycle
initiaels,initials
receit,receipt
veist,waist
regn,reign
inconvinient,inconvenient
garantie,guarantee
weman,women
climbe,climb
becaurse,because
initiales,initials
receit,receipt
waiste,waist
inconviniant,inconvenient
garantie,guarantee
mainer,minor
auful,awful
bycicle,bicycle
iniziales,initials
cout,court
weist,waist
inconvinient,inconvenient
garantie,guarantee
southen,southern
owful,awful
cizeres,scissors
scearcery,scarcely
inicials,initials
riceet,receipt
waighst,waist
remaind,remind
lain,reign
sccesful,successful
garantee,guarantee
magnificient,magnificent
worte,wrote
peotry,poetry
understanded,understand
strang,strange
especial,special
buscuit,biscuits
contened,contented
peotetoes,potatoes
dinning,dining
recieved,received
comming,coming
unt,aunt
magnificant,magnificent
oposite,opposite
garly,gallery
purpul,purple
powertary,poetry
understanded,understand
bicekets,biscuits
contended,contented
verious,various
dinning,dining
admited,admitted
recieved,received
vonus,bonus
celebulate,celebrate
dag,dug
magnicisant,magnificent
oppsit,opposite
garary,gallery
sprended,splendid
catain,curtains
poemtly,poetry
problum,problem
pritened,pretend
refreciment,refreshment
biskets,biscuits
stomuck,stomach
verious,various
vegitables,vegetables
potetoes,potatoes
addmited,admitted
recived,received
bornas,bonus
serevelate,celebrate
dog,dug
arnt,aunt
lifed,lived
oposite,opposite
remembre,remember
splended,splendid
nowbody,nobody
jus,juice
stomache,stomach
life,live
baby's,babies
becaurse,because
have,half
dinning,dining
ant,aunt
courteins,curtains
blu,blue
babyes,babies
pond,pound
receved,received
celebate,celebrate
ant,aunt
magnificient,magnificent
galary,gallery
splendide,splendid
purper,purple
poretry,poetry
juse,juice
cocking,cooking
offer,half_a
stake,steak
varous,various
vegtebels,vegetables
frid,fried
admited,admitted
noticebel,noticeable
ount,aunt
oposite,opposite
splended,splendid
pouetry,poetry
lateyst,latest
points,poems
straings,strange
refreshmend,refreshment
buscuits,biscuits
diging,digging
becouse,because
vegatables,vegetables
inclueding,including
fruit,fried
pothetous,potatoes
dinnig,dining
admited,admitted
bounes,bonus
progrese,progress
suns,sons
forewerd,forward
ant,aunt
stasion,station
varies,various
magnifinct,magnificent
galery,gallery
splened,splendid
protery,poetry
pouims,poems
stranger,strange
lough,laugh
realy,really
juis,juice
varios,various
dicking,digging
addimitt,admitted
recievd,received
celibarate,celebrate
he's,his
preparing,prepearing
government,goverment
diplomat,diplomatic
arrive,arrived
settle,settled
coming,comming
rhythm,rithm
?waltz,bolss
drink,drank
quickly,quickle
juvenile,jouvenile
compare,compeared
beautiful,beatiful
together,togegether
smelling,smelly
an,and
involving,envolving
beginning,beggining
illness,ilness
epidemic,epidemia
high,hig
dying,dieing
basket-ball,basket_ball
disease,decsese
confusion,confussion
quickly,quick
faithfully,faith_fully
carefully,carefuly
taking,takeing
account,acount
candlelight,candle_light
approach,aproach
back-door,back_door
disconnected,disconected
thought,though
glas-case,glass_case
hefty,heefty
address,adress
annual,anual
explanation,explanations
sincerely,sincerly
clutching,cluching
mentally,mentaly
loud-speakers,loudspeakers
balloons,ballons
girl,girle
anything,any_thing
breathless,brethless
silhouette,siluhete
myself,my_self
at,a
went,whent
the,a
let's,let
finally,finaly
exhausted,exausted
heavily,heavely
feel,fell
grabbed,grabed
girl_friend,girle_friend
jumped,jumed
publicly,publiclly
excellent,excelent
everyone,every_one
which,wich
symptoms,symthoms
contagious,contageous
water,whater
beginning,begining
nobody,nobady
what's,whats
happening,happenin
so,sou
occurs,occures
nevertheless,never-the-less
suitcases,suit-cases
unnecessary,innecessary
arose,aroused
welcome,welcomed
bedroom,bed-room
someone,some-one
mayor,mayer
reunion,renion
?,imponent
river-bed,river_bed
epidemic,epidemy
inquire,inquiry
inconvenience,inconveniencies
bicycle,bycicle
attend,attened
damaged,damadged
there,their
believe,belive
stolen,stollen
sports_car,sport_car
where,were
their,there
delicious,deliceaus
percentage,persent
citizens,citizen
have,has
children's,childrens
inform,informe
polluted,poluted
wants,want
a_lot,alot
prevention,preventions
problem,problems
answer,answered
sent,sended
holidays,hollidays
family,familly
younger,youngest
friend's,friends'
and,an
want,wanted
hated,hatred
have,had
radio,radios
symptoms,sympthoms
afraid,affraid
measurement,measurment
these,this
measurements,measurments
paralysed,poralised
ask,asked
early,earl
combed,comb
breathed,breath
calmed,calm
threw,through
apologized,appologized
symptoms,simptoms
attribute,atribute
condition,conditions
panic,pannic
ceilings,cielings
been,being
depressing,depressive
sincerely,sincerly
alarm-clock,alarm_clock
sunlight,sun_light
lazily,lazely
tripped,triped
hurriedly,huredly
full,fool
toast,toasts
stopped,stoped
traffic-lights,traffic_lights
accused,acused
copying,coping
nought,naught
severely,severly
upset,apset
leave,leve
myself,my_self
covered,couvered
forgotten,forgot
neighbours,neiboughs
rang,ran
accurately,accuratley
experiences,expiriences
sincerely,sincearly
adolescents,adolescence
positive,possitive
